Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Net migration,SM.POP.NETM,..,..,-20000,..,..,..,..,-20000,..,..,..,..,-20000,..,..,..,..,-1153959,..,..,..,..,-3345095,..,..,..,..,-1525351,..,..,..,..,3076383,..,..,..,..,-867540,..,..,..,..,744193,..,..,..,..,-1046361,..,..,..,..,521769,..,..,..,..,-314602,..
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53793,9655582953.98019,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.4411,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20744935406.0955,20958745169.393
Afghanistan,AFG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,544.260064993259,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386
Albania,ALB,Net migration,SM.POP.NETM,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-443212,..,..,..,..,-179606,..,..,..,..,-176774,..,..,..,..,-217358,..,..,..,..,-136590,..,..,..,..,-69998,..
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5323413429.2078,5629277349.93579,5795262041.82743,5859296109.50071,5785961355.99125,5888988727.39149,6220965342.69439,6171953924.17107,6084309730.97047,6682795837.17283,6042875354.54374,4350740837.66611,4038048267.97926,4424061926.33187,4791385885.98412,5429710284.36621,5923813890.03275,5276934356.01002,5742892287.97611,6483145173.3945,6933726105.57995,7508536855.2307,7849421473.13165,8283498466.36982,8739919123.61791,9223229205.55263,9767407472.26188,10351496684.5109,11127855784.8838,11500638274.9451,11926953213.6961,12230542524.082,12403913643.3434,12528199360.3781,12749948526.2141,13034272401.1992,13470920485.9895,13987748469.2562,14547875720.1519
Albania,ALB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1894.50309306131,1695.77551071707,1868.08506595197,2120.34383032801,2293.9122549451,2512.70715919323,2622.31528845147,2788.09246322587,2947.49722939638,3116.68572889836,3350.8192103859,3576.01920138089,3793.92636583227,3866.84710950755,4053.45440365367,4210.97017792423,4245.09744513621,4400.0031849543,4452.73091262423,4577.08077141533,4756.82019707315,4879.48864743416,..
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376
Algeria,DZA,Net migration,SM.POP.NETM,..,..,-282941,..,..,..,..,-121335,..,..,..,..,-253436,..,..,..,..,-224833,..,..,..,..,-81020,..,..,..,..,-93302,..,..,..,..,-128679,..,..,..,..,-164413,..,..,..,..,-205228,..,..,..,..,-357340,..,..,..,..,-143268,..,..,..,..,-50002,..
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27434399198.5661,23701828112.4837,19036113335.2005,25568113635.8175,27061141389.0302,28740798889.5036,27359811853.9881,29946124625.8101,33179179683.712,35977272901.7645,39165815236.0404,34727655043.5586,44251356563.9066,45938738803.5353,49381809470.8621,51873290453.4046,56223777003.7627,59180352662.8655,64633724928.158,69466922771.1721,70016133106.5164,72116614360.2801,76732080647.514,80875615322.4914,85404646973.9496,88564616567.7931,88918875921.9762,88296445990.496,87413476682.8251,91259671545.3277,91989749446.9795,90885871916.0363,92521819701.8253,90578860785.6483,89763654164.5903,93174668346.0474,96994828322.4354,98061771373.7004,103062925254.282,106360940460.508,110423586430.994,113745564598.73,120125920931.173,128777236288.584,134316749131.751,142251902308.528,144648118986.031,149526919452.577,153055956405.236,155554202821.621,161207268655.392,165869166838.539,171466867482.163,176212451150.234,182889354514.369,189772334940.908,196034821993.495,199171379146.415,203353978108.49
Algeria,DZA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2872.48754580162,2490.42648472816,1781.85169570052,2190.34929739941,2216.97508666933,2242.36527389748,2056.66505845651,2214.93291000596,2401.37187035613,2561.39301843691,2657.57115961501,2320.77216698676,2889.94997621619,2904.73322872597,3041.49495442819,3087.15699033212,3227.97974794477,3303.36721619986,3488.31969342839,3581.32543789837,3508.86624634589,3497.996132795,3611.69076264977,3709.27457133254,3792.09617588897,3817.84395180371,3758.14320046807,3628.52099702852,3455.81259629004,3514.60573178597,3448.92606570807,3265.25764299719,3267.00372764666,3166.43349558496,3054.67215261878,3074.24684694637,3131.37321229348,3141.72366421397,3280.64732853894,3313.38102676975,3349.08035296455,3497.46205299531,3607.15289843275,3821.59005899263,3903.36719275664,4003.4259156371,4051.52495751646,4287.80023628515,4364.26421391333,4351.10047147916,4470.01910377832,4456.83746761051,4457.36436894624,4470.02282156955,4547.02660205284,4602.45823123554,4775.71485661524,4714.94452618961,..
Algeria,DZA,"Population, total",SP.POP.TOTL,11057863,11336339,11619828,11912803,12221675,12550885,12902627,13275026,13663583,14061722,14464985,14872250,15285990,15709825,16149025,16607707,17085801,17582904,18102266,18647815,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429
American Samoa,ASM,Net migration,SM.POP.NETM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,623365638.76652,628440528.634361,631823788.546256,629286343.612335,603066079.295154,614907488.986784,598837004.405286,573462555.066079,576000000,577691629.955947,552317180.61674,537092511.013216,542167400.881057,548933920.704846,534555066.079295,505797356.828194,..
American Samoa,ASM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,20123,20602,21253,22034,22854,23672,24462,25248,25989,26703,27363,27984,28567,29100,29596,30052,30456,30838,31269,31845,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465
Andorra,AND,Net migration,SM.POP.NETM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,1022930411.1163,1070491206.24643,1157733493.6236,1247903187.07193,1318020243.18285,1325166623.52504,1368947306.81745,1407805910.58157,1428402113.57242,1428995717.42599,1460558340.33864,1458623472.81247,1476804647.19237,1502945836.75764,1529768711.11779,1565281267.29392,1616204903.65455,1705857764.18649,1792759723.25731,1879296849.01282,1950360346.83369,2000016577.27601,2018600970.43982,1997779424.18469,2045390257.51495,2101791877.24365,2199519738.00303,2398964977.79976,2475606878.11635,2577084005.24761,2668012839.88281,2789321202.45229,2969818586.67949,3331207491.64175,3585973903.04456,3851227772.83026,4025933064.029,4027543882.80023,3681577710.754,3545703433.76383,3355695364.23841,3199771534.45741,3148088242.81882,3159158337.77854,3231113955.01675,3258326510.42858,3319880351.13342,3377115826.62178,3432140710.39217
Andorra,AND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006
Angola,AGO,Net migration,SM.POP.NETM,..,..,-296717,..,..,..,..,-587286,..,..,..,..,199800,..,..,..,..,199800,..,..,..,..,234148,..,..,..,..,188491,..,..,..,..,142812,..,..,..,..,199800,..,..,..,..,261100,..,..,..,..,357301,..,..,..,..,166267,..,..,..,..,32066,..
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26521449164.1151,25354505077.5016,25354505077.5016,26419394652.9057,28004558903.8942,28984718322.577,29825275659.0343,31042966694.3324,32945556123.5913,32959268545.6627,31822141255.443,32137613012.7029,30261328944.0939,23003628099.9176,23311730283.7517,26808489833.043,30439530821.7894,32653786719.2065,34185623675.9806,34931379541.6446,35998401926.5017,37512494191.7837,42638834055.0001,43913671239.4261,48723474947.8463,56046084737.5161,62518109036.7694,71276907517.7698,79235785608.8078,79916193295.5028,83799496611.2004,86708999523.6243,94115810017.4361,98778862978.4373,103542597661.716,104519600362.38,101822893037.816,101673002177.645,99503815532.2356
Angola,AGO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1722.59029200471,1820.65662423499,2175.03394053224,2186.43644683277,2301.0512692491,2516.10939965194,2647.46563691209,2968.1475757381,3029.5755519905,3266.86435340496,3241.6439618359,3229.37878884871,3414.61940887866,3506.90379239541,3612.64817516893,3588.16394574401,3371.43842704262,3315.26251532123,..
Angola,AGO,"Population, total",SP.POP.TOTL,5454933,5531472,5608539,5679458,5735044,5770570,5781214,5774243,5771652,5803254,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,..,..,-1880,..,..,..,..,-1202,..,..,..,..,-7018,..,..,..,..,-4428,..,..,..,..,-3763,..,..,..,..,-2890,..,..,..,..,2231,..,..,..,..,2469,..,..,..,..,252,..,..,..,..,1887,..,..,..,..,943,..,..,..,..,0,..
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,322802895.238522,336953373.083558,364178347.531993,393900511.3434,408927485.626788,408583936.388601,430500445.224182,474260796.516996,510512312.91626,569189722.967959,606906333.449014,638546016.85925,672084207.470226,692325009.071933,707396047.776794,715590002.022208,753373665.688466,803670361.916,768634400.789226,819401304.725953,864231831.157892,905121350.289817,938682296.128043,1001496497.16983,951881612.473067,961629840.268185,1019884496.57692,1078389764.69155,1147540485.65063,1293605261.82583,1413385613.40099,1412959714.1241,1241885105.44827,1152469074.07407,1128507777.84862,1168080135.6583,1166866912.80811,1221221060.55215,1270384206.28814,1341395390.63876,1382074629.24002,1450219904.50286
Antigua and Barbuda,ATG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12734.353463292,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,54131,55001,55841,56702,57641,58698,59915,61241,62521,63550,64177,64357,64133,63650,63120,62675,62367,62159,62036,61952,61865,61800,61779,61787,61786,61786,61754,61717,61771,62008,62528,63367,64471,65777,67204,68670,70173,71704,73224,74674,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286
Argentina,ARG,Net migration,SM.POP.NETM,..,..,122000,..,..,..,..,130000,..,..,..,..,142000,..,..,..,..,-230000,..,..,..,..,140000,..,..,..,..,160000,..,..,..,..,-105000,..,..,..,..,-128000,..,..,..,..,-125000,..,..,..,..,-120000,..,..,..,..,30000,..,..,..,..,24000,..
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,115573868508.15,121847036500.547,120808873523.837,114396100733.294,125984766250.65,139300642138.499,138381639345.114,142798776600.374,149685248718.023,164174071297.927,169174227931.948,178746327507.296,181657062226.624,186764812014.466,197100011389.723,197044011131.933,193067167388.744,206454730042.606,197151622246.269,217305966255.665,220606374392.254,209157368731.779,207618683386.485,216648213592.787,220051190931.379,208632681046.742,221470636587.663,227461126795.486,224981952135.064,208880107086.685,203726588308.536,222333162871.504,239980394235.249,259675534967.549,274830720366.623,267011210297.951,281768091694.844,304622433397.251,316350941905.026,305641016669.195,303229512290.352,289860609223.184,258281789127.305,281106256200.528,306488951656.956,333618311350.415,360465082297.96,392934518437.813,408876787794.809,384677312577.801,423627422092.49,449061807872.401,444452545623.356,455143068397.581,443707073929.401,455825423287.839,446342760088.163,458253820042.814,446730617131.025
Argentina,ARG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5787.55839528476,6016.21816005006,5860.92521542779,5462.70842042578,5933.26096672316,6455.68018741928,6405.16686867781,6284.94832229592,6374.20307796352,6941.32013034724,6832.95630823579,7449.95012519595,7266.85381871782,7487.45954167524,7775.296195403,7726.92139846614,7361.71546463727,7693.83570739346,7249.24877520982,7850.36857795092,7847.69712937102,7217.25225270869,6805.43590085523,7011.25880394807,7041.43991125078,6563.09669918171,6916.94833808511,6986.53913451306,6824.08205357974,5990.32382134228,6000.13534934655,6532.4356068702,7034.02791076741,7559.99280550329,7887.48033826166,7541.94072403653,7846.88606439452,8377.17764076078,8572.42263082682,8179.12707968257,8022.33507682495,7569.08878407905,6498.83292023358,7085.42902382028,7086.01714195702,7621.05498928625,8883.21306354834,9651.70941078626,9954.18525619816,9215.50391580885,10032.0664005739,10565.7227938749,10395.0243155857,10552.9547242833,10187.7887058311,10373.5146865616,10015.8138499348,10132.8689346064,9665.7417928881
Argentina,ARG,"Population, total",SP.POP.TOTL,20481779,20817266,21153052,21488912,21824425,22159650,22494035,22828869,23168267,23517611,23880561,24259561,24653175,25056478,25462302,25865776,26264681,26661398,27061047,27471036,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502
Armenia,ARM,Net migration,SM.POP.NETM,..,..,70335,..,..,..,..,103399,..,..,..,..,86404,..,..,..,..,17214,..,..,..,..,-51230,..,..,..,..,-67528,..,..,..,..,-496288,..,..,..,..,-223873,..,..,..,..,-160521,..,..,..,..,-183361,..,..,..,..,-30535,..,..,..,..,-24989,..
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6357857589.75576,5613988348.08092,3267341064.49481,2979815090.2181,3140725188.01139,3357435176.22065,3554362204.25785,3672405405.82638,3940491000.05925,4070527203.13965,4310688308.16703,4722645335.95263,5345387542.93892,6095922452.74993,6734033974.76835,7667755681.43806,8679746346.03114,9873142200.55556,10554389012.5961,9060944166.36197,9260284937.79782,9695518329.76298,10393595649.8606,10736584306.306,11123101341.3964,11479040584.2061,11501998665.3545,12364648565.331,13007610290.7282
Armenia,ARM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,951.158093052815,1036.84262733042,1149.3553050294,1241.26005321432,1303.59815812292,1352.44687510306,1438.11195255702,1590.52615967623,1824.34553546598,2084.57325359619,2306.9302715339,2679.08694895199,3074.09711230789,3551.87572265702,3848.25768616487,3257.9579364253,3377.64640578846,3477.25646627246,3728.04731711329,3907.92030353627,3971.06585475355,4057.69504961825,3975.29285178965,4335.71491627895,4437.93715964405
Armenia,ARM,"Population, total",SP.POP.TOTL,1874121,1941492,2009526,2077578,2145001,2211319,2276034,2339127,2401143,2462928,2525068,2587708,2650486,2712786,2773748,2832759,2889579,2944383,2997417,3049109,3099754,3148096,3193689,3238595,3285599,3335940,3392264,3451947,3504659,3536474,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776
Aruba,ABW,Net migration,SM.POP.NETM,..,..,-4323,..,..,..,..,-4275,..,..,..,..,-3537,..,..,..,..,-5470,..,..,..,..,-1921,..,..,..,..,-5194,..,..,..,..,14218,..,..,..,..,6926,..,..,..,..,6263,..,..,..,..,-441,..,..,..,..,1253,..,..,..,..,1004,..
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,981607427.198877,1139434503.72889,1351923640.91077,1515909822.86634,1575961100.76557,1701452873.81139,1801538336.97676,1933189215.44814,2091786180.15635,2145066958.3561,2170502947.57596,2323455516.53157,2369738480.01402,2399076773.30305,2581804607.81403,2505092558.00282,2423084673.45471,2470953856.9732,2666444969.3824,2698824912.71875,2727178946.35418,2776274326.82278,2773756030.74943,2481963897.09079,2390502793.29609,2472880828.36298,2439005748.52239,2541400876.22235,2562957745.21181,2551409422.53889,2546020205.29152,2579895285.13211,..
Aruba,ABW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22132.8375776997,..,..,..,..,..,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845
Australia,AUS,Net migration,SM.POP.NETM,..,..,384343,..,..,..,..,806193,..,..,..,..,259531,..,..,..,..,235744,..,..,..,..,453572,..,..,..,..,654209,..,..,..,..,351078,..,..,..,..,388419,..,..,..,..,589282,..,..,..,..,1210802,..,..,..,..,989375,..,..,..,..,791229,..
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,199139047718.85,204089849595.708,206734197138.169,219582762769.18,234906337351.139,248961440446.676,254892994999.378,270958209894.165,284765576902.118,304825928196.663,326687853950.911,339767692195.329,353061555604.021,362288940891.53,377155458071.398,382246591466.222,392138003545.45,406244848988.393,409888764605.755,426461995275.08,439401502001.532,454068105566.42,469182358833.87,458763331606.088,479780916327.655,504966111940.334,525350244893.651,538775816095.741,569690300721.26,591735676616.313,612854394107.81,610427207629.465,612950039053.017,637648386215.098,663031927492.837,688454667518.61,715157638655.217,743524204658.442,777552637827.885,817003041825.571,849136607514.988,865531875868.232,900165537707.341,927044119235.146,964640422450.762,995549419251.556,1023370338682.13,1062711770160.28,1101585168586.88,1122921831117.46,1146138465603.81,1174364700089.06,1220175492942.96,1252091897568.26,1284254470331.22,1314255624127.52,1351669261177.29,1383333225865.24,1422550005324.64
Australia,AUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,19123.3124282274,19232.7605350183,19049.2790717796,19809.1140655779,20788.5015655012,21648.3330547072,21648.5844291221,22730.3799126664,23399.6548183488,24533.310763311,25780.6320883012,25941.0171998371,26500.9693323216,26770.8608667098,27230.6418164758,27283.3222126908,27595.7310856007,28265.4442858146,28182.7277341419,28985.941499385,29446.0347671633,30011.9077732703,30505.3527420274,29532.0368514836,30332.3126580355,31353.4989841268,32056.470942854,32358.478618084,33618.6914899818,34118.0977317674,34615.7517221888,34020.5348474783,33965.2607223385,35157.4714075761,36194.773626002,36922.4513002687,37810.3441987491,38931.3150852188,40374.5340000674,41964.5012727534,43186.4579473268,43455.4896968432,44682.6207760869,45406.4416942516,46665.2481983243,47108.7242339443,47598.3563339029,48804.3753122027,49748.9970752093,49947.8385370735,50001.1878491491,50375.3059885024,51982.1868815262,52776.1370707967,53267.6620500394,54083.1281253785,54591.9176493844,54721.1848955439,55147.8207033385
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369
Austria,AUT,Net migration,SM.POP.NETM,..,..,15996,..,..,..,..,50401,..,..,..,..,82001,..,..,..,..,5502,..,..,..,..,18002,..,..,..,..,110999,..,..,..,..,227841,..,..,..,..,65082,..,..,..,..,178117,..,..,..,..,153763,..,..,..,..,267172,..,..,..,..,324998,..
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,91836703339.5229,96922600975.7382,99489765786.6089,103606918511.136,109952172697.415,113778700633.421,120199075025.325,123814720654.546,129352102232.948,137470068345.607,146159747322.549,153635772670.608,163173267863.473,171153151159.323,177900244807.952,177253158036.877,185368597102.924,194785286243.434,194374964316,204787047701.607,208332905591.186,208032292628.472,212216351195.68,218525730110.73,218637779730.792,224100834862.979,229258275343.493,232369695258.041,240028322052.062,249358402441.892,260194624813.073,269149554294.002,274784266755.542,276231856329.01,282867273580.389,290414126234.635,297237508056.37,303460462050.854,314328689139.021,325507255365.782,336495475309.688,340759446602.411,346387257223.224,349648400806.147,359211698966.039,367272649488.203,379958397501.957,394121024471.145,399876867204.146,384823180705.023,391892746544.69,403346978477.779,406091530301.534,406195100294.014,408881165533.779,413554595891.403,421989351972.106,432753797159.88,444564007898.326
Austria,AUT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,19508.0432356095,20433.1846978183,21543.5343717697,22462.7107711429,23381.0687519995,23339.2830744388,24411.8447503889,25624.9672546747,25592.7390978051,27045.2508000956,27554.3283235036,27470.0598329904,28036.9628854794,28921.5814047306,28952.0206771699,29685.8529880454,30225.7252532531,30603.7684356832,31732.3201894891,32928.7616061266,34152.6958192589,34807.3505230805,35077.1354172315,34997.4025175946,35628.1645626824,36393.4668494788,37324.4875636139,37904.3171151705,39160.3420849362,40069.3710859162,41629.6057300074,41782.7595183401,42606.298431809,42942.6556140445,43895.0829820846,44542.2148431235,46060.1886398984,47461.9771486723,48455.4841927369,46103.3236050384,47250.0083676307,48225.8635870391,48220.2162729991,48028.7078295679,47905.1397587833,47381.4062405728,48246.1362593071,49060.6809886537,..
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037
Azerbaijan,AZE,Net migration,SM.POP.NETM,..,..,0,..,..,..,..,-40000,..,..,..,..,-50466,..,..,..,..,-50466,..,..,..,..,-101568,..,..,..,..,-161568,..,..,..,..,-115116,..,..,..,..,-111849,..,..,..,..,36523,..,..,..,..,53579,..,..,..,..,8499,..,..,..,..,6002,..
