Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Papua New Guinea,PNG,Net migration,SM.POP.NETM,..,..,5860,..,..,..,..,9476,..,..,..,..,-6419,..,..,..,..,-8646,..,..,..,..,10704,..,..,..,..,4723,..,..,..,..,-21116,..,..,..,..,-26081,..,..,..,..,-84417,..,..,..,..,38578,..,..,..,..,-3999,..,..,..,..,-3999,..
Papua New Guinea,PNG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2283859428.16873,2425027330.959,2579600981.49194,2684655793.05367,2914738352.58713,3214038837.69315,3400895277.26384,3539327409.30789,3693627581.94224,3999218306.65599,4432845780.04627,4711901958.33428,4977820660.03669,5302835753.75283,5441268009.76689,5393391153.91756,5210638866.34634,5254138092.29759,5703359508.52942,5807867612.23401,5674086216.07656,5658492149.26497,5678463474.06455,5861489611.44446,5840697357.06897,6074336368.98452,6359408441.19144,6535595523.61586,6725731714.44913,6630254579.89994,6430540092.20395,7044457176.91797,8020050058.08388,9479882503.20838,10043187460.2783,9710512019.94829,10461493479.9958,10053036010.6586,9674125701.58717,9853634327.43608,9607801720.43793,9596148551.70579,9580900220.50172,9788240721.90888,10054595953.9024,10692539548.0695,10937876243.438,12151737734.1615,12115978030.7861,12940537475.4444,14250726289.854,14408526151.1887,15078295061.1831,15655783399.2449,17769314158.143,19457399003.1666,20255152362.2964,20569070936.1483,20657015297.4525
Papua New Guinea,PNG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1792.46706799449,..,..,..,..,..,..,..,..
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,2255859,2297059,2340352,2385946,2434223,2485437,2539674,2596820,2656633,2718811,2783121,2849532,2918139,2989202,3063049,3139945,3219829,3302633,3388618,3478100,3571205,3668104,3768483,3871492,3975956,4081030,4186499,4292563,4399324,4506991,4615839,4725547,4836217,4949051,5065661,5187060,5314248,5446641,5581762,5716161,5847586,5974629,6098621,6223377,6354245,6494903,6646895,6808514,6976201,7144776,7310507,7472200,7631002,7788379,7946731,8107775,8271760,8438029,8606316
Paraguay,PRY,Net migration,SM.POP.NETM,..,..,-70930,..,..,..,..,-66170,..,..,..,..,-59110,..,..,..,..,-46560,..,..,..,..,-21310,..,..,..,..,-17340,..,..,..,..,-31180,..,..,..,..,-44090,..,..,..,..,-47150,..,..,..,..,-117900,..,..,..,..,-87130,..,..,..,..,-82780,..
Paraguay,PRY,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2597665883.9473,2776912246.64451,2868557529.59431,3003674946.42086,3130204073.45938,3323274270.62304,3389457388.4915,3699605185.76849,3867089044.36601,4048886755.43606,4273738674.52894,4510424815.79114,4809524502.75431,5160755078.92262,5593305078.65853,5976583216.90427,6426377853.46862,7165030968.01572,8026893193.65262,8979055061.61064,10030695094.7224,10950555860.7163,10797508951.8502,10468982013.3026,10763851302.7644,11250714901.4158,11809294407.3297,12704711054.0582,13456241982.8186,14389459802.9667,14982777935.4867,15506223780.0563,15769275703.7478,16547703829.5881,17427697093.9059,18616755806.9066,18909743541.8099,19711992456.5502,19725404053.8427,19455939310.8741,19005701526.3586,18847183576.3273,18843149450.7086,19657313979.9291,20454893447.1486,20891296689.2966,21895565804.2224,23082660807.8578,24550515090.9268,24487181775.1697,27215968615.5548,28372405343.9011,28219616269.0248,30595001137.8313,32082190602.0107,33070442062.4899,34496738801.8119,36207104850.3802,37524256603.9785
Paraguay,PRY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3501.13896663169,3685.30680298039,3632.34764633414,3551.13757139019,3421.49042114496,3132.28633709106,3087.20611164001,3098.93098694299,2924.22038564164,3062.87693848943,3111.66538355842,3336.49288268471,3633.70195295268,3862.36485560647,3784.69187122338,4148.94993123266,4324.41836733874,4207.50202417234,4514.46854797816,4686.68353062917,4763.24897903572,4885.41777803032,5112.88616179186,5242.45011344852
Paraguay,PRY,"Population, total",SP.POP.TOTL,1903982,1954548,2006670,2060339,2115567,2172306,2230741,2290798,2351925,2413396,2474763,2535873,2597154,2659421,2723812,2791241,2861867,2935712,3013282,3095145,3181625,3272912,3368773,3468535,3571272,3676210,3783074,3891734,4001681,4112386,4223415,4334345,4445016,4555521,4666094,4776843,4887632,4998100,5107839,5216349,5323201,5428444,5531962,5632983,5730549,5824096,5913209,5998427,6081296,6163972,6248020,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071
Peru,PER,Net migration,SM.POP.NETM,..,..,-29300,..,..,..,..,-48900,..,..,..,..,-82600,..,..,..,..,-94100,..,..,..,..,-175500,..,..,..,..,-280600,..,..,..,..,-354600,..,..,..,..,-255800,..,..,..,..,-909782,..,..,..,..,-1202758,..,..,..,..,-624809,..,..,..,..,495345,..
Peru,PER,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27007516807.7316,28991785084.3297,31901195760.3692,33281959207.9495,35461217848.3697,37454752993.7436,40540620296.0538,42102473804.2926,42166569646.6579,43648496411.7063,45117681232.1881,47188826403.5585,48829834415.9231,51894851263.488,56766135283.251,59207569086.1173,60064368328.3378,60274031234.3882,58681288163.5636,61081793296.0039,64712089138.8869,68304931387.1347,68152800291.4002,61059398363.1293,63262596414.5535,64566522075.2018,70652538143.647,77524307460.3656,70205025605.6868,61561353755.1467,58494020190.3879,59792154058.0514,59468972009.4987,62587273352.5239,70290744141.8621,75500268871.9384,77613501072.3318,82640391263.6201,82316823095.535,83547386045.0424,85798462918.4744,86328605036.3513,91036560493.9424,94828254301.3356,99530031846.4096,105785554389.544,113750041982.731,123439711646.329,134705521240.862,136181656212.925,147528937028.778,156863376722.64,166494356217.325,176238468734.981,180436360290.376,186311168974.641,193681418607.586,198560425017.996,206456183334.43
Peru,PER,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2541.01037465552,2661.53399687052,2866.04261120007,2908.2334851494,3003.28904998464,3096.06073918654,3245.09672533511,3269.79181711557,3168.32753082816,3187.16354968082,3235.51125612173,3307.58562695583,3330.05628317894,3429.74132304642,3665.84540748267,3723.24100477784,3644.00740897505,3631.73366296151,3387.98646104019,3381.10419549701,3527.64198506451,3652.78020803704,3557.07432194174,3052.80909458514,3083.00231960087,3097.0048765497,3275.48967241539,3541.41469877883,3031.13504473794,2661.1519602842,2497.12231454374,2572.60111415636,2510.21845140345,2571.64971596261,2845.12658566854,2988.28889124461,3053.4483319325,3201.50579904056,3164.22164246406,3159.37586771852,3182.9661767109,3180.56781825607,3300.22592016263,3372.48985434131,3443.75448244788,3585.67823992271,3732.65924433652,4028.39361681559,4408.30864260607,4450.8518246255,4709.05317559097,4951.45749150241,5280.98237456153,5616.42978040716,5731.17497374784,5916.38486471382,6015.2471307787,6030.82207680863,6199.6416938431
Peru,PER,"Population, total",SP.POP.TOTL,10155015,10446620,10749466,11062300,11383373,11711392,12045787,12386879,12735486,13092852,13459794,13836367,14221961,14615845,15017055,15424744,15838572,16258321,16683456,17113388,17547610,17985393,18426415,18870993,19319746,19772872,20230384,20691283,21153459,21614193,22071433,22522378,22966818,23408131,23851408,24299160,24753824,25210954,25658062,26078293,26459944,26799285,27100968,27372226,27624213,27866145,28102056,28333052,28562317,28792655,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256
Philippines,PHL,Net migration,SM.POP.NETM,..,..,-218063,..,..,..,..,-470430,..,..,..,..,-375090,..,..,..,..,-476561,..,..,..,..,-292444,..,..,..,..,-314676,..,..,..,..,-698877,..,..,..,..,-949346,..,..,..,..,-1244356,..,..,..,..,-1548077,..,..,..,..,-834619,..,..,..,..,-335758,..
Philippines,PHL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27831927085.0032,29395129345.7251,30798194686.6301,32972697348.8896,34109260339.3413,35905389339.4908,37494559779.6482,39490826454.6295,41443812926.2363,43373585464.6592,45006429570.4411,47449662724.1301,50034146732.1615,54497516252.7635,56436600596.9102,59577169661.334,64823910895.9224,68455382411.6782,71995965495.4464,76056304499.463,79972376151.8963,82710045854.9849,85703593377.5842,87310207052.9414,80915884624.6699,75003677449.0048,77566390203.5994,80910769692.4349,86374305406.1462,91734099781.4076,94520033471.8569,93973391365.9367,94290648382.7695,96286128143.7528,100510800776.545,105213391791.955,111364033551.931,117138662136.244,116463102215.322,120052397729.866,125348175702.195,128975735689.221,133678066315.986,140322359077.992,149720622534.59,156873776537.453,165098606450.348,176022623675.058,183332415224.715,185437680419.182,199590775190.258,206895301780.44,220723809025.295,236315792450.895,250838103974.997,266055320224.315,284370714896.705,303359721708.73,322300707148.301
Philippines,PHL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1047.76582452564,1077.9894852552,1096.72003456344,1136.2306601521,1137.55724236815,1159.17409637691,1176.37908761035,1202.79557861468,1214.99314379271,1239.40109868446,1236.35166799643,1274.04930897118,1302.9340638776,1385.04008180656,1404.69023537933,1435.47390518871,1509.664963728,1562.91729731291,1601.24171810665,1642.73012168759,1672.21229101427,1680.55077381013,1672.7210530844,1661.63998547261,1467.11500972703,1328.80353945012,1335.86994782617,1365.97898179667,1427.16096699857,1473.42167618867,1506.81548604131,1478.94484343892,1470.38209498287,1474.07741078088,1520.44855273579,1559.00839370062,1624.75955686612,1698.05263386622,1784.12699694004,1792.90837705073,1889.59625991745,1916.17470308763,1954.36932607057,2002.38240337457,2087.49760720386,2156.25179937362,2212.53141345014,2302.0998801879,2364.54318323572,2434.84994460948,2560.25238555569,2590.04010332896,2728.09614081773,2902.24029418018,3019.97561625196,3150.52705029483,3306.56653837679,3470.68427161249,3625.25012998684
Philippines,PHL,"Population, total",SP.POP.TOTL,26269734,27161047,28077339,29012625,29958688,30909988,31864182,32823968,33795194,34786305,35803594,36849675,37923396,39022767,40144248,41285742,42446653,43629412,44838483,46079850,47357743,48672838,50023563,51408912,52827040,54275822,55755355,57263836,58795001,60340767,61895160,63454786,65020116,66593904,68180859,69784088,71401749,73030884,74672014,76325927,77991755,79672873,81365258,83051971,84710542,86326250,87888675,89405482,90901965,92414158,93966780,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922
Poland,POL,Net migration,SM.POP.NETM,..,..,-62544,..,..,..,..,-143114,..,..,..,..,-170903,..,..,..,..,-106595,..,..,..,..,-119193,..,..,..,..,-304973,..,..,..,..,-159999,..,..,..,..,-85199,..,..,..,..,-183471,..,..,..,..,-178456,..,..,..,..,-320806,..,..,..,..,-146976,..
Poland,POL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226663603667.326,210761839939.026,216062455153.799,224139540188.571,236002802390.66,252409378834.61,267696746592.379,284988226710.443,298139820250.058,311979570855.305,326204689417.305,330274931184.294,337018207143.568,349023977713.66,366948562332.106,379768513912.38,403236825523.165,431603488873.412,449945279076.709,462634563725.003,479321460551.189,503370477232.779,511464199250.489,518583225549.696,535792126819.885,556360892780.155,573399993367.161,601004211852.884,631952707856.598
Poland,POL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6446.93459685481,6883.89915201386,7321.56471078481,7658.68992759804,8021.87665001182,8490.82360086642,8607.72988294936,8786.19542221999,9048.96973911142,9307.61080230138,9777.92228552281,10350.8684058117,10942.7133351962,11596.0987438364,11759.9527737088,12148.5545649086,12750.0790500903,12941.7637441186,13179.3899914383,13573.0521990667,14106.9294671537,14496.6031277335,15156.5821611763,15992.420771936
